date,equity
2025-07-02,122805.99
2025-07-03,124058.76
2025-07-07,123784.0
2025-07-08,123582.29
2025-07-09,124331.13
2025-07-10,123460.78
2025-07-11,122764.52
2025-07-14,123371.12
2025-07-15,123264.24
2025-07-16,123408.9
2025-07-17,124077.15
2025-07-18,124256.68
2025-07-21,124650.37
2025-07-22,123955.3
2025-07-23,124315.16
2025-07-24,124398.82
2025-07-25,124543.81
2025-07-28,125108.64
2025-07-29,124871.02
2025-07-30,125018.78
2025-07-31,123889.77
2025-08-01,122262.85
2025-08-04,124179.83
2025-08-05,123359.81
2025-08-06,124021.65
2025-08-07,124093.61
2025-08-08,124812.63
2025-08-11,124184.12
2025-08-12,126352.49
2025-08-13,126522.14
2025-08-14,126327.43
2025-08-15,125813.94
2025-08-18,126019.1
2025-08-19,124888.27
2025-08-20,124403.84
2025-08-21,123840.74
2025-08-22,125860.26
2025-08-25,125905.95
2025-08-26,126483.27
2025-08-27,126524.4
2025-08-28,127076.66
2025-08-29,125710.05
2025-09-02,124972.28
2025-09-03,125852.42
2025-09-04,126768.25
2025-09-05,127045.74
2025-09-08,127823.08
2025-09-09,128194.17
2025-09-10,128669.61
2025-09-11,129445.03
2025-09-12,129710.59
2025-09-15,130871.02
2025-09-16,130923.14
2025-09-17,130755.98
2025-09-18,132006.89
2025-09-19,132560.47
2025-09-22,133861.83
2025-09-23,133144.77
2025-09-24,132432.44
2025-09-25,131754.65
2025-09-26,132429.9
2025-09-29,133232.06
2025-09-30,133385.88
2025-10-01,134334.85
2025-10-02,135148.23
2025-10-03,134712.33
2025-10-06,135881.75
2025-10-07,135077.84
2025-10-08,136386.4
2025-10-09,136104.99
2025-10-10,131859.0
2025-10-13,134277.85
2025-10-14,133753.0
2025-10-15,134819.9
2025-10-16,134470.47
2025-10-17,135049.43
2025-10-20,136316.81
2025-10-21,136070.11
2025-10-22,134963.54
2025-10-23,136444.08
2025-10-24,137951.3
2025-10-27,140391.51
2025-10-28,140792.5
2025-10-29,141843.03
2025-10-30,140590.66
2025-10-31,141703.17
2025-11-03,142021.88
2025-11-04,139393.77
2025-11-05,140524.98
2025-11-06,139168.42
2025-11-07,138671.75
2025-11-10,141139.51
2025-11-11,140759.67
