date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2025-11-13,STOP,TSLA,6.0,401.99,2411.94,,stop pl=-12.66% vs -12.00%,41934.27,110862.74
2025-11-13,BUY,PANW,18.0,204.77,3685.86,0.6721,score=+0.67 sector=cybersecurity,38246.57,110860.9
2025-11-13,BUY,QS,226.0,13.57,3066.82,0.5553,score=+0.56 sector=ev_mobility,35178.22,110859.37
2025-11-14,BUY,ROKU,34.0,99.77,3392.18,0.6246,score=+0.62 sector=other,31784.34,110847.32
2025-11-14,BUY,LRCX,22.0,147.7351,3250.17,0.6095,score=+0.61 sector=semiconductors,28532.54,110845.69
2025-11-14,BUY,ZS,10.0,299.45,2994.5,0.5878,score=+0.59 sector=cybersecurity,25536.55,110844.19
2025-11-14,BUY,KLAC,27.0,112.9509,3049.67,0.5696,score=+0.57 sector=semiconductors,22485.35,110842.67
2025-11-18,BUY,LOGI,6.0,111.74,670.44,0.8417,score=+0.84 sector=other,21814.57,108757.13
2025-11-20,STOP,PANW,18.0,185.07,3331.26,,stop pl=-9.62% vs -8.32%,25144.17,106548.49
2025-11-20,STOP,QS,226.0,11.72,2648.72,,stop pl=-13.63% vs -12.00%,27791.56,106547.16
2025-11-20,SELL,ACLS,36.0,74.12,2668.32,-0.0065,score=-0.01 <= exit_thr=+0.00,30458.55,106545.83
2025-11-20,BUY,CRWD,26.0,125.3275,3258.51,0.6124,score=+0.61 sector=cybersecurity,27198.4,106544.2
2025-11-20,BUY,ASML,3.0,977.6124,2932.84,0.5548,score=+0.55 sector=ai_infra,24264.1,106542.74
2025-11-20,BUY,NU,192.0,15.32,2941.44,0.5547,score=+0.55 sector=fintech,21321.19,106541.26
2025-11-26,SELL,ZS,10.0,251.97,2519.7,-0.1777,score=-0.18 <= exit_thr=+0.00,23839.63,110614.2
2025-11-28,SELL,QQQ,91.0,616.9963,56146.67,-0.1124,score=-0.11 <= exit_thr=+0.00,79958.22,111368.23
2025-11-28,BUY,QQQ,90.0,616.9963,55529.67,-0.1124,benchmark core target=50%,24400.79,111340.46
2025-12-01,STOP,AVGO,3.0,383.9284,1151.79,,trailing lock hw=12.25% now=7.55%,25552.0,111046.91
2025-12-01,SELL,QQQ,90.0,614.9238,55343.14,-0.2538,score=-0.25 <= exit_thr=+0.00,80867.47,111019.24
2025-12-01,BUY,QQQ,90.0,614.9238,55343.14,-0.2538,benchmark core target=50%,25496.65,110991.57
2025-12-03,BUY,IBM,10.0,298.7059,2987.06,0.5756,score=+0.58 sector=other,22508.1,112156.99
2025-12-05,STOP,ASML,3.0,1095.6285,3286.89,,trailing lock hw=16.30% now=12.07%,25793.34,112207.52
2025-12-05,STOP,NU,192.0,16.7,3206.4,,trailing lock hw=15.21% now=9.01%,28998.14,112205.92
2025-12-05,SELL,ROKU,34.0,100.09,3403.06,-0.228,score=-0.23 <= exit_thr=+0.00,32399.5,112204.22
2025-12-09,BUY,TSLA,7.0,445.17,3116.19,0.6097,score=+0.61 sector=mega_cap_tech,29281.75,112412.53
2025-12-11,SELL,QQQ,90.0,623.3033,56097.3,-0.0714,score=-0.07 <= exit_thr=+0.00,85351.0,112876.5
2025-12-11,BUY,QQQ,90.0,623.3033,56097.3,-0.0714,benchmark core target=50%,29225.65,112848.45
2025-12-12,STOP,LRCX,22.0,160.2151,3524.73,,trailing lock hw=13.98% now=8.45%,32748.62,111329.94
2025-12-12,STOP,KLAC,27.0,119.0851,3215.3,,trailing lock hw=10.05% now=5.43%,35962.31,111328.34
2025-12-12,BUY,QQQ,1.0,611.3868,611.39,0.1507,benchmark core target=50%,35350.62,111328.03
2025-12-12,BUY,ISRG,6.0,542.32,3253.92,0.5852,score=+0.59 sector=robotics,32095.07,111326.4
2025-12-15,BUY,TSM,11.0,286.2611,3148.87,0.607,score=+0.61 sector=ai_infra,28944.63,111051.29
2025-12-15,BUY,GOOG,10.0,308.9164,3089.16,0.5795,score=+0.58 sector=mega_cap_tech,25853.92,111049.74
2025-12-15,BUY,INTC,85.0,37.51,3188.35,0.5784,score=+0.58 sector=semiconductors,22663.97,111048.15
2025-12-17,STOP,TSLA,7.0,467.26,3270.82,,trailing lock hw=10.04% now=4.96%,25933.16,109406.16
2025-12-17,BUY,GOOGL,13.0,296.3343,3852.35,0.7608,score=+0.76 sector=mega_cap_tech,22078.89,109404.23
2025-12-22,STOP,LOGI,6.0,103.39,620.34,,stop pl=-7.47% vs -6.97%,22698.92,112079.8
2025-12-22,SELL,CRWD,26.0,120.785,3140.41,-0.0316,score=-0.03 <= exit_thr=+0.00,25837.76,112078.23
2025-12-22,BUY,AMAT,12.0,258.3662,3100.39,0.5731,score=+0.57 sector=semiconductors,22735.81,112076.68
2025-12-26,SELL,EA,18.0,204.4031,3679.26,-0.1533,score=-0.15 <= exit_thr=+0.00,26413.23,112652.6
2025-12-26,SELL,IBM,10.0,301.144,3011.44,-0.1314,score=-0.13 <= exit_thr=+0.00,29423.16,112651.1
2025-12-30,STOP,FLYW,246.0,14.15,3480.9,,trailing lock hw=10.28% now=5.36%,32902.32,112107.73
2025-12-30,BUY,PATH,186.0,16.67,3100.62,0.5553,score=+0.56 sector=software,29800.15,112106.18
2026-01-02,BUY,IBM,12.0,287.7298,3452.76,0.6535,score=+0.65 sector=other,26345.67,111889.6
2026-01-02,BUY,CSCO,47.0,75.3483,3541.37,0.646,score=+0.65 sector=other,22802.53,111887.83
2026-01-08,STOP,INTC,85.0,41.11,3494.35,,trailing lock hw=13.65% now=9.60%,26295.13,113504.84
